"1-Acurácia (Avg)", "2-Acurácia (Avg)", "3-Acurácia (Avg)","Treinamento (ms)","Classificação (ms)", "Dataset", "Algoritmo","Configuração" 
93.54,96.91,100,38.73,1.36, wine.arff, Árvore de Decisão,Class
95.67,97.79,98.32,28.2,3.61, segment-challenge.arff, Árvore de Decisão,Class
66.36,80.76,85.64,2.72,0.21, glass.arff, Árvore de Decisão,Class
32.49,49.76,57.96,152.03,1.84, poker-hand-training-true.arff, Árvore de Decisão,Class
96,99,100,0.67,0.04, iris.arff, Árvore de Decisão,Class
70.52,87.76,91.23,647.71,2.04, covtype01perNomi.arff, Árvore de Decisão,Class
92.42,97.86,99.07,10.02,0.16, car.arff, Árvore de Decisão,Class
76.64,83.2,100,3.19,0.12, balance-scale.arff, Árvore de Decisão,Class
92.42,98.66,99.15,4.74,0.28, nursery.arff, Árvore de Decisão,Class
73.64,76.84,77.67,1455.54,15.05, data0NonNormalized3-reordered.arff, Árvore de Decisão,Class
96.63,100,100,3.51,3.48, wine.arff, Naive Bayes,Class
81.07,95.2,98.33,6.37,33.68, segment-challenge.arff, Naive Bayes,Class
48.6,69.63,97.66,0.52,0.55, glass.arff, Naive Bayes,Class
26.64,53.88,80.74,6.43,10.08, poker-hand-training-true.arff, Naive Bayes,Class
96,100,100,0.8,0.09, iris.arff, Naive Bayes,Class
62.81,92.67,98.64,25.9,64.1, covtype01perNomi.arff, Naive Bayes,Class
85.53,96.99,99.77,2.52,3.39, car.arff, Naive Bayes,Class
90.4,92.16,100,0.27,0.18, balance-scale.arff, Naive Bayes,Class
89.94,99.94,99.94,0.52,1.41, nursery.arff, Naive Bayes,Class
39.35,53.98,61.76,77.45,711.92, data0NonNormalized3-reordered.arff, Naive Bayes,Class
98.31,100,100,67.1,1.56, wine.arff, SVM,Class
91.96,98.13,99.38,103.13,1.24, segment-challenge.arff, SVM,Class
55.61,84.58,93.69,40.25,0.08, glass.arff, SVM,Class
26.7,53.88,80.82,491.17,1.68, poker-hand-training-true.arff, SVM,Class
96,100,100,7.27,0.03, iris.arff, SVM,Class
71.1,95.61,99.22,4087.5,3.49, covtype01perNomi.arff, SVM,Class
93.67,99.4,99.92,131,1, car.arff, SVM,Class
87.36,92.16,100,30.66,0.12, balance-scale.arff, SVM,Class
92.6,99.94,100,583.48,1.39, nursery.arff, SVM,Class
65.28,78.27,83.17,3769.8,180.04, data0NonNormalized3-reordered.arff, SVM,Class
97.75,100,100,85.75,1.55, wine.arff, Random Forest,Class
97.83,99.6,99.8,411.56,5.93, segment-challenge.arff, Random Forest,Class
80.61,95.33,98.13,55.29,0.85, glass.arff, Random Forest,Class
36.6,64.96,86.05,1641.23,50.11, poker-hand-training-true.arff, Random Forest,Class
95.33,99.67,100,13.09,0.23, iris.arff, Random Forest,Class
77.96,97.58,99.6,4726.53,78.29, covtype01perNomi.arff, Random Forest,Class
94.56,99.48,99.83,117.11,4.4, car.arff, Random Forest,Class
81.12,88.88,100,82.84,2.56, balance-scale.arff, Random Forest,Class
94.98,100,100,289.29,11.19, nursery.arff, Random Forest,Class
85.66,91.87,94.08,3748.16,25.73, data0NonNormalized3-reordered.arff, Random Forest,Class
95.51,99.72,100,0.18,7.62, wine.arff, KNN 5,Class
94.67,98.01,98.93,0.66,23.86, segment-challenge.arff, KNN 5,Class
68.69,87.62,91.87,0.09,0.84, glass.arff, KNN 5,Class
27.98,52.6,71.79,0.58,129.46, poker-hand-training-true.arff, KNN 5,Class
95.33,100,100,0.05,0.18, iris.arff, KNN 5,Class
71.64,93.93,96.21,1.12,419.9, covtype01perNomi.arff, KNN 5,Class
94.73,99.3,99.86,0.25,21.49, car.arff, KNN 5,Class
87.79,92.45,100,0.14,2.35, balance-scale.arff, KNN 5,Class
94.31,99.59,99.89,0.67,86.43, nursery.arff, KNN 5,Class
75.96,85.17,88.8,0.82,1228.74, data0NonNormalized3-reordered.arff, KNN 5,Class
94.94,100,100,0.11,1.38, wine.arff, KNN 7,Class
94.26,98.07,99.1,0.35,20.62, segment-challenge.arff, KNN 7,Class
